,genre_type,genre_id
0,Documentaries,9b71bb62-3038-4dbc-a1ac-f5c73711bb50
1,International TV Shows,a996d841-ab49-45c6-a375-834f581f38df
2,TV Dramas,e20551b8-0895-4fae-85eb-67a2883754fb
3,TV Mysteries,10bfc44a-7a66-45d4-8412-958a4ef27de7
4,Crime TV Shows,27278456-cc60-4bf2-b326-dd5e75708100
5,TV Action & Adventure,923ccbb6-c092-4f6e-b60f-febad82ce089
6,Docuseries,35ae57b1-ba11-41e7-a66c-b8a4f81c5c7a
7,Reality TV,63bd72fa-6b09-4a45-9dc9-7de6505a822c
8,Romantic TV Shows,c95995c2-28f9-432c-8818-f4054ed9c035
9,TV Comedies,96b30c30-2ded-4fd5-bbcf-769ea438a317
10,TV Horror,a5b5a439-990c-4fd2-9a56-fc726142505a
11,Children & Family Movies,edfddf0f-c274-4726-bcb5-6e72c6c6d12e
12,Dramas,59c20e85-331f-4b7d-b46d-a95b93187043
13,Independent Movies,8b166d9d-3aaf-47d9-81c0-f2e2f9944b71
14,International Movies,8bc83fd6-e711-4608-9915-a4c2891f0d5d
15,British TV Shows,24fdf8d2-c8c0-402a-b3e1-ae8dc4c750dc
16,Comedies,5500c15b-e40c-4ea6-acc4-30031ea1e614
17,Spanish-Language TV Shows,16a96d43-e11e-49e7-974d-f337c41df36f
18,Thrillers,d456b271-1d84-4e19-a8fa-6f1dd9a343d7
19,Romantic Movies,88496b7f-e9f5-4765-8e99-2ae75e4bffb4
20,Music & Musicals,9c487213-eec5-45a0-a038-d49f5eadde91
21,Horror Movies,f416dfdd-4ccc-49d6-ac5b-176f51628226
22,Sci-Fi & Fantasy,fa8ec779-c9a1-4b75-8bd6-872115f01b86
23,TV Thrillers,88fd743a-d23c-4ed4-90d4-9aa95ba10714
24,Kids' TV,e07f8846-f0bd-46f2-95cf-ed293692a6a7
25,Action & Adventure,e6ac24a7-f13b-4f64-9c86-090b109fded3
26,TV Sci-Fi & Fantasy,7f50fe10-56e4-4b71-a758-f2a8654615cf
27,Classic Movies,52d71346-af72-4df6-af59-e042269276e1
28,Anime Features,491770f9-f432-416b-8eb2-9b2c124fa7f3
29,Sports Movies,b3c854ff-a4f9-42ae-8915-8729816776be
30,Anime Series,466f7ba1-13cf-48b8-8540-11db39d54f33
31,Korean TV Shows,dd21c166-3ddb-43ee-9299-140a93bb2a47
32,Science & Nature TV,4a63683a-3886-4cd9-b6e3-52623c155f12
33,Teen TV Shows,362c5bc1-1905-408f-a043-84056d756897
34,Cult Movies,8323aeab-75dc-41e1-ba2c-c687706e4517
35,TV Shows,1129e690-d793-4ebd-aad7-9b9c4ee75feb
36,Faith & Spirituality,39ae3c4d-382f-4936-9dbd-e00bffe485dc
37,LGBTQ Movies,5135b187-e454-450f-bed8-09c36ca0e788
38,Stand-Up Comedy,4aee06fd-1530-4071-8abc-1695a4f1cd8c
39,Movies,e8b8256c-5e88-4a39-b845-5bf95c98276a
40,Stand-Up Comedy & Talk Shows,0b980093-af07-4007-924e-a2128ce4c625
41,Classic & Cult TV,0dff6c1a-5cfc-4bcb-af9b-bed60d32e79c
